Review ID,Valid,Topic,Text Span,Errors
1,False,Staff,Staff is extremely helpful and easy to communicate with,
1,False,Location,close to the airport,
1,False,Location,close to the beach,
1,False,Food,Tasty food on the first floor,
1,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,
2,True,Room,"The room was very clean, well decorated and modern, although not big.",
2,True,Staff,The staff was very nice and helpful!,
2,True,Staff,all staff was very kind and helpful,
2,True,Food,"the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus.",
3,True,Location,the location is great and near the airport.,
3,True,Location,bus stop is very close.,
4,True,Price,Great Quality/price,
5,True,Room,Clean and modern with very comfortable beds,
5,True,Location,in a very convenient location,
5,True,Location,An easy stroll to numerous nice restaurants and a great beach,
6,True,Room,The room was exceptionally clean with a really comfortable bed,
7,True,(no spans found),,
8,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 433)
9,False,(parse failed),,"json_parse_error: Expecting ',' delimiter: line 17 column 3 (char 585)"
10,True,Room,Great modern room comfortable bed and quiet location.,
10,True,Location,quiet location.,
11,False,Room,The rooms are spacious and clean great to stay,
11,False,Staff,Maria at reception is just great she really took time to explain where to go how to get there and so helpful,
11,False,Food,Oh yeah the food is great to and very reasonable prices,
11,False,Price,very reasonable prices,
11,False,Location,The bus stop which goes to and from the airport as well as the town center is a minutes walk away,
12,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 592)
13,True,Room,"The rooms are lovely and new, very clean and comfortable.",
13,True,Room,The mattress was to my taste.,
13,True,Staff,"The staff are so welcoming, we felt like staying with family.",
13,True,Location,"Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants.",
14,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 537)
15,True,Staff,The staff make it - particularly reception and the dining room.,
15,True,Location,"really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.",
15,True,Location,it is a bit on the edge of Larnaca,
16,True,Room,"I liked the rooms- they are spacious, clean, the window view is nice too.",
16,True,Food,"The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",
17,True,Room,Our room had a balcony with great view of the sea and surrounding area.,
17,True,Staff,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.,
18,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 535)
19,True,Location,Close to airport,
20,True,Staff,friendly stuff,
20,True,Location,location,
