Review ID,Valid,Topic,Text Span,Errors
41,True,Staff,Super friendly and helpful staff.,
41,True,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach.",
41,True,Food,very nice breakfast.,
41,True,Food,"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards.",
41,True,Food,I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.,
42,True,(no spans found),,
43,True,(no spans found),,
44,True,Staff,Was met with a warm welcome at reception,
44,True,Staff,and then again by the dining staff,
44,True,Price,particularly for the tariff charged,
44,True,Facility,The facilities were really good,
45,True,Location,The beach is about 5 minutes walk away.,
45,True,Location,it is right near the takeoff end of the runway,
45,True,Food,"Restaurant was a surprise hit: good food, very reasonably priced",
45,True,Food,so an easy choice to eat at the hotel,
46,True,Price,Great value for money,
47,True,Staff,very helpful staff who organised a taxi to collect us in the morning.,
47,True,Price,Good value for money.,
47,True,Taxi-issue,very helpful staff who organised a taxi to collect us in the morning.,
48,True,Room,Clean and comfortable rooms,
48,True,Staff,lovely owner,
49,True,Room,The 2 rooms were big enough for a family of 5.,
49,True,Location,Great location close to the airport and a short walk to the sea.,
49,True,Price,Great value for money.,
50,True,Location,Great little hotel close to airport,
51,True,Room,"nice clean room, very well kept.",
51,True,Staff,staff very helpful and friendly.,
51,True,Food,good food,
51,True,Location,Near airport,
52,True,(no spans found),,
53,False,(parse failed),,json_parse_error: Extra data: line 16 column 1 (char 448)
54,True,Room,Very nice and clean room.,
55,True,(no spans found),,
56,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 462)
57,True,Room,"Very clean, very comfortable room.",
57,True,Staff,Staff was extremely helpful.,
57,True,Staff,They ordered a taxi for us to get to the airport very early in the morning.,
57,True,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",
57,True,Taxi-issue,They ordered a taxi for us to get to the airport very early in the morning.,
58,False,Room,The room wasn't soundproof so you can hear the planes.,
58,False,Staff,The staff were nice and helpful.,
58,False,Location,Close to the airport,
59,False,Location,Close to airport so very convenient for overnight stay.,
59,False,Check-in,Very easy to check-in if you arrive late at night.,
60,True,Room,access to our room,
60,True,Staff,clear instructions,
60,True,Check-in,Arrived in the early hours,
