Review ID,Valid,Topics Present,Errors
21,True,"Staff, Food",
22,True,"Room, Staff, Food",
23,True,Room,
24,True,Room,
25,True,(none),
26,True,"Room, Staff, Location, Food, Price",
27,True,"Staff, Location, Off",
28,True,Staff,
29,True,"Room, Staff",
30,True,"Room, Staff, Location, Off",
31,True,"Staff, Location, Food, Price",
32,True,"Room, Staff",
33,True,"Room, Staff",
34,True,"Location, Price",
35,True,(none),
36,True,"Room, Staff, Location, Food, Check-in, Off",
37,True,"Staff, Food",
38,True,Room,
39,True,Room,
40,True,"Room, Location",
