Review ID,Valid,Topic,Text Span,Errors
41,True,Room,Clean modern rooms,
41,True,Staff,Super friendly and helpful staff,
41,True,Location,"A good location 5 lins away from the airport by car, 5 mins walk to the beach",
41,True,Food,very nice breakfast,
42,True,(no spans found),,
43,True,(no spans found),,
44,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 523)
45,False,Location,The beach is about 5 minutes walk away.,
45,False,Food,good food,
45,False,Food,"Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually.",
46,True,(no spans found),,
47,True,Staff,very helpful staff who organised a taxi to collect us in the morning.,
47,True,Taxi-issue,very helpful staff who organised a taxi to collect us in the morning.,
48,True,Room,Clean and comfortable rooms,
48,True,Staff,lovely owner,
49,False,Room,The 2 rooms were big enough for a family of 5.,
49,False,Location,Great location close to the airport and a short walk to the sea.,
49,False,Value,Great value for money.,
50,False,Location,Great little hotel close to airport,
50,False,Sound,Not very Soundproof,
51,False,(parse failed),,json_parse_error: Extra data: line 19 column 1 (char 488)
52,True,(no spans found),,
53,False,(parse failed),,json_parse_error: Extra data: line 18 column 1 (char 512)
54,True,Room,Very nice and clean room.,
55,True,(no spans found),,
56,False,(parse failed),,json_parse_error: Extra data: line 17 column 1 (char 462)
57,True,Room,"Very clean, very comfortable room.",
57,True,Staff,Staff was extremely helpful.,
57,True,Staff,They ordered a taxi for us to get to the airport very early in the morning.,
57,True,Location,"We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from.",
58,False,Room,The room wasn't soundproof so you can hear the planes.,
58,False,Staff,The staff were nice and helpful.,
58,False,Location,"Close to the airport,",
59,True,Location,Close to airport so very convenient for overnight stay.,
59,True,Check-in,very easy to check-in if you arrive late at night,
60,True,Room,our room,
60,True,Staff,clear instructions,
