Review ID,Valid,Topics Present,Errors
1,True,"Staff, Location, Food",
2,True,"Room, Staff, Food",
3,True,Location,
4,True,Price,
5,True,Location,
6,True,Room,
7,True,(none),
8,True,Location,
9,True,"Food, Taxi-issue",
10,True,"Room, Location",
11,True,"Room, Staff, Location, Food, Price",
12,True,"Staff, Food",
13,True,"Room, Staff, Location",
14,True,"Staff, Location",
15,True,"Staff, Location",
16,True,"Room, Food",
17,True,"Room, Staff, Location",
18,True,"Staff, Location, Food, Price, Facility",
19,True,Location,
20,True,"Staff, Location",
