Review ID,Valid,Topic,Sentiment,Errors
1,True,Room,Positive,
1,True,Staff,Positive,
1,True,Location,Positive,
1,True,Food,Positive,
2,True,Room,Positive,
2,True,Staff,Positive,
2,True,Food,Negative,
3,False,Location,Positive,
4,False,Room,Negative,
4,False,Staff,Positive,
4,False,Location,null,
4,False,Price,Negative,
5,False,Room,Positive,
5,False,Staff,null,
5,False,Location,Positive,
6,False,Room,Positive,
6,False,Staff,null,
6,False,Location,null,
6,False,Price,Negative,
7,True,Staff,Negative,
8,True,Staff,Positive,
8,True,Location,Positive,
9,True,Staff,Positive,
9,True,Location,Positive,
9,True,Food,Negative,
10,True,Room,Positive,
10,True,Location,Positive,
11,True,Room,Positive,
11,True,Staff,Positive,
11,True,Location,Positive,
11,True,Food,Positive,
12,True,Staff,Positive,
12,True,Food,Positive,
12,True,Price,Negative,
13,True,Room,Positive,
13,True,Staff,Positive,
13,True,Location,Positive,
14,True,Staff,Negative,
14,True,Location,Positive,
15,True,Room,Positive,
15,True,Staff,Positive,
15,True,Location,Negative,
16,False,Room,Positive,
16,False,Staff,null,
16,False,Location,null,
16,False,Food,Negative,
16,False,Price,null,
16,False,Facility,null,
16,False,Check-in,null,
16,False,Check-out,null,
16,False,Off,null,
16,False,Booking-issue,null,
16,False,Taxi-issue,null,
17,True,Room,Positive,
17,True,Staff,Positive,
17,True,Location,Positive,
18,True,Staff,Positive,
18,True,Location,Positive,
18,True,Food,Negative,
18,True,Price,Negative,
19,True,Location,Positive,
20,False,Location,Negative,
20,False,Staff,Positive,
