Review ID,Valid,Topic,Text Span,Errors
21,False,Staff,The staff ... however what will bring me back is the staff and the owners.,
21,False,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,
21,False,Food,Everything from breakfast to dinner is absolutely delicious.,
21,False,Food,Richard (the chef) is personally buying super fresh food for the restaurant.,
22,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",
22,False,Room,"Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.",
22,False,Staff,The staff very accomodating.,
22,False,Food,"Ordered pizza one night and was not great, too stodgy but I'm sure other food is better.",
22,False,Facility,The restaurant area is nice.,
23,True,Room,the beds were very comfortable,
24,True,Room,I loved the mattress!!!,
25,True,(no spans found),,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,
27,True,Staff,friendly staff.,
28,True,Staff,Staff is very polite and caring.,
29,True,Room,very clean functional rooms.,
29,True,Room,I would have liked an ironing board in the room.,
29,True,Staff,lovely and very helpful staff.,
30,True,Room,The room was spotless.,
30,True,Staff,Staff were lovely.,
30,True,Location,Great location for restaurants.,
30,True,Location,Great location for a short drive to the airport.,
31,True,Staff,friendly staff,
31,True,Location,Very close to Mackenzy beach & Larnaca airport,
31,True,Food,excellent,
31,True,Food,Great restaurant beneath the hotel - food excellent & reasonably priced,
32,True,Room,The bed was great.,
32,True,Room,Rooms clean.,
32,True,Staff,Staff were so kind.,
33,True,Room,super clean room with modern furniture,
33,True,Staff,Very helpful staff,
33,True,Food,Option to have a good breakfast within the hotel,
34,True,Location,location,
35,True,(no spans found),,
36,True,Room,The room was smaller than I expected,
36,True,Room,"I had no problem as they were very clean, and the bed was really comfortable",
36,True,Staff,The receptionist on check in was very good and explained the information very clearly to us,
36,True,Staff,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation",
36,True,Location,we were surprised at the location in a small side street,
36,True,Food,"The chef was very polite, and his food was excellent, he had passion and it showed in his presentation",
36,True,Check-in,The receptionist on check in was very good and explained the information very clearly to us,
36,True,Off,Nothing except not showing opening times,
37,False,Staff,lovely caring staff.,
37,False,Food,food was good too.,
38,True,Room,great rooms - nice and cool,
39,True,Room,It was really clean and spacious,
40,True,Room,"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",
