Review ID,Valid,Topic,Text Span,Sentiment,Errors
21,True,Staff,the staff and the owners.,Positive,
21,True,Staff,Richard (the chef) is personally buying super fresh food for the restaurant.,Positive,
21,True,Food,Everything from breakfast to dinner is absolutely delicious.,Positive,
21,True,Food,super fresh food,Positive,
22,False,Room,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean.",Positive,
22,False,Room,"Bed was really comfortable, lots of room for me to put my things...",Positive,
22,False,Facility,"Bed was really comfortable, lots of room for me to put my things...",Positive,
22,False,Facility,"Fridge could have been put on beforehand so it was cold,",Negative,
22,False,Food,"Ordered pizza one night and was not great, too stodgy",Negative,
22,False,Staff,The staff very accomodating.,Positive,
23,True,Room,the beds were very comfortable,Positive,
24,True,Room,I loved the mattress!!!,Positive,
25,True,(no topics found),,,
26,False,Room,The rooms are a good size and are laid out very well with a good size bathroom,Positive,
26,False,Room,The room also has a great sized balcony to take a tea/coffee and chill,Positive,
26,False,Staff,The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing,Positive,
26,False,Location,The hotel is 5 minutes from the beach and the location is also near the lake,Positive,
26,False,Food,There is a great restaurant inside where the food is good and not to pricey,Positive,
27,True,Room,"so comfortable, clean",Positive,
27,True,Staff,friendly staff.,Positive,
27,True,Off,nothing.,Negative,
28,False,(parse failed),,,json_parse_error: Extra data: line 18 column 1 (char 657)
29,True,Room,very clean functional rooms.,Positive,
29,True,Room,I would have liked an ironing board in the room.,Negative,
29,True,Staff,lovely and very helpful staff.,Positive,
30,False,Room,The room was spotless.,Positive,
30,False,Staff,Staff were lovely.,Positive,
30,False,Service,Service was great.,Positive,
30,False,Location,Great location for restaurants.,Positive,
30,False,Location,Great location for a short drive to the airport.,Positive,
30,False,Off,Not applicable,,
31,True,Staff,friendly staff.,Positive,
31,True,Location,Very close to Mackenzy beach & Larnaca airport.,Positive,
31,True,Food,Great restaurant beneath the hotel - food excellent & reasonably priced.,Positive,
32,True,Room,Rooms clean.,Positive,
32,True,Room,The bed was great.,Positive,
32,True,Staff,Staff were so kind.,Positive,
33,True,Room,super clean room with modern furniture,Positive,
33,True,Room,all together make your stay max comfortable,Positive,
33,True,Staff,Very helpful staff,Positive,
33,True,Location,Little bit noisy during evening time from the street side,Negative,
33,True,Food,Option to have a good breakfast within the hotel,Positive,
34,True,Location,location,Positive,
34,True,Price,value for money,Positive,
34,True,Facility,more hooks on walls for towels etc.,Negative,
35,True,Facility,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",Negative,
36,False,(parse failed),,,json_parse_error: Extra data: line 46 column 1 (char 1497)
37,True,Staff,lovely caring staff.,Positive,
37,True,Food,food was good too!,Positive,
38,True,Room,great rooms - nice and cool,Positive,
39,True,Room,It was really clean and spacious,Positive,
40,True,Location,"Nice location, not far from Airport and Mackenzie beach.",Positive,
